source_id,title,domain,country,category,subcategory,file_type,file_path,url
c7a41c85,1d4753f5603cdfed_e2f6931cbc,unknown,unknown,AI,,txt,corpus_text/1d4753f5603cdfed_e2f6931cbc.txt,
d104580a,8b8ab7cfc537e2fa_6bec0f31b8,unknown,unknown,AI,,txt,corpus_text/8b8ab7cfc537e2fa_6bec0f31b8.txt,
85a9771a,8bb69aadf091c2a0_df9cb3c346,unknown,unknown,cooling,,txt,corpus_text/8bb69aadf091c2a0_df9cb3c346.txt,
bc119271,1af5b441a64a9e48_d8aa952542,unknown,unknown,power,,txt,corpus_text/1af5b441a64a9e48_d8aa952542.txt,
3111e758,17e59495859ac49d_8e32da3f2c,unknown,unknown,government,,txt,corpus_text/17e59495859ac49d_8e32da3f2c.txt,
5b53eec3,64ad78a52e7acfc1_e4e44a1dbc,unknown,unknown,cooling,,txt,corpus_text/64ad78a52e7acfc1_e4e44a1dbc.txt,
d756835a,https___www.ndc.gov.tw_en_Content_List.aspx_n=E738D6D7DD31163F,,unknown,uncategorized,,txt,corpus_text/https___www.ndc.gov.tw_en_Content_List.aspx_n=E738D6D7DD31163F.txt,
6301e289,https___english.www.gov.cn_news_202407_24_content_WS66a0b167c6d0868f4e8e96ba.html,,unknown,cooling,,txt,corpus_text/https___english.www.gov.cn_news_202407_24_content_WS66a0b167c6d0868f4e8e96ba.html.txt,
4191dbef,f513d5a2260ce1c5_d4dd59a47d,unknown,unknown,Arctic,,txt,corpus_text/f513d5a2260ce1c5_d4dd59a47d.txt,
aa6f7881,https___op.europa.eu_en_publication-detail_-_publication_83be4c3e-5c79-11f0-a9d0-01aa75ed71a1_language-en,,unknown,uncategorized,,txt,corpus_text/https___op.europa.eu_en_publication-detail_-_publication_83be4c3e-5c79-11f0-a9d0-01aa75ed71a1_language-en.txt,
b2f52f66,3cb7658889f70999_fdef51bd83,unknown,unknown,cooling,,txt,corpus_text/3cb7658889f70999_fdef51bd83.txt,
7dbd2ab8,9aa35d0856cbc889_5cd7f46bcd,unknown,unknown,power,,txt,corpus_text/9aa35d0856cbc889_5cd7f46bcd.txt,
724b500e,803e76b93e3142e7_3188fe6027,unknown,unknown,power,,txt,corpus_text/803e76b93e3142e7_3188fe6027.txt,
2d66e87e,8b472f86bd50ee2e_e30f870f2e,unknown,unknown,power,,txt,corpus_text/8b472f86bd50ee2e_e30f870f2e.txt,
f8327e15,10d65df248f026ea_b080b1a93b,unknown,unknown,power,,txt,corpus_text/10d65df248f026ea_b080b1a93b.txt,
300f9a0b,0b84f8529ab25218_958dec702f,unknown,unknown,fiber,,txt,corpus_text/0b84f8529ab25218_958dec702f.txt,
274c0509,54f203cf1f4e8eb2_31773299e9,unknown,unknown,government,,txt,corpus_text/54f203cf1f4e8eb2_31773299e9.txt,
34ed7c3d,08b5ba35facfc7a0_12afe27853,unknown,unknown,power,,txt,corpus_text/08b5ba35facfc7a0_12afe27853.txt,
